4(-3.0, -1.8, -2.5),
3(3.9, -0.5, -0.7),
2(0.8, 0.2, 29.9),
1(-2.6, -1.8, -7.2),
0(1.2, -1.8, -0.7),
/n
3(-6.8, -1.8, 30.8),
2(-0.2, 0.3, -0.7),
1(-2.4, -1.8, 47.6),
0(-3.3, -1.9, 39.2),
/n
4(3.1, -0.2, -0.7),
3(1.5, -0.2, -0.7),
2(1.5, 0.6, -0.7),
1(10.1, -1.9, 41.8),
0(2.5, -0.1, -0.7),
/n
48(0.6, -1.2, -0.7),
46(-14.0, -1.9, 118.0),
45(-7.7, -1.8, 24.5),
44(11.0, -1.9, 25.9),
43(-7.8, -1.8, 29.7),
43(-1.5, -1.9, -1.3),
41(1.6, -1.9, 54.4),
40(-2.4, -1.9, 27.6),
39(-5.6, -1.9, 29.7),
38(-2.5, -1.8, 30.1),
38(0.2, 0.6, -0.7),
36(-8.0, -1.8, 34.3),
36(-2.1, -0.7, -0.7),
35(5.8, -0.1, -0.7),
34(-3.2, -0.3, -0.7),
32(1.1, -1.8, 15.8),
31(-10.3, -1.9, 83.6),
30(9.5, -1.9, 71.1),
30(-1.5, -1.8, -3.0),
29(0.5, -0.8, -0.7),
26(-11.6, -1.9, 41.3),
25(2.7, -1.9, 71.5),
24(-3.2, -1.6, -0.7),
24(2.6, -1.8, -2.0),
22(-4.7, -1.9, 41.8),
21(5.9, -1.9, 23.6),
20(-1.1, -1.7, 30.6),
19(3.9, -1.8, 31.8),
18(4.1, -1.9, 30.0),
17(-1.6, -1.8, 21.7),
17(2.2, 0.1, -0.7),
15(-2.4, -0.7, -0.7),
13(8.4, -1.8, 49.0),
13(-1.3, -0.8, -0.7),
11(-2.2, -1.8, 28.8),
11(2.9, -1.8, -4.5),
9(2.6, -1.9, 40.4),
8(-3.9, -1.8, 28.4),
7(5.8, -1.9, 37.0),
7(-2.3, -1.8, -7.0),
5(-3.2, -1.9, 52.6),
4(-5.2, -1.8, 28.0),
3(29.0, -1.8, 43.0),
1(-1.3, 1.6, 30.6),
0(-2.2, -1.8, 36.6),
/n
48(-1.3, -1.9, 14.3),
47(-0.3, -1.8, -13.1),
46(-0.2, -1.9, 8.2),
45(-3.6, -0.9, -0.7),
44(-5.1, -1.9, 28.4),
43(-4.5, -0.8, -0.7),
42(-4.1, -1.8, 10.1),
41(-1.3, -1.8, 19.2),
40(7.5, -1.9, 41.2),
39(-0.7, -1.8, -1.0),
38(-2.8, -1.8, 9.5),
37(-4.2, -1.8, 38.3),
36(-0.8, -1.9, 16.5),
35(3.2, -1.8, 64.4),
34(0.1, -0.9, -0.7),
33(-3.0, -1.7, -0.7),
32(3.2, 0.6, -0.7),
31(-5.1, -1.9, 36.3),
30(-9.3, -1.9, 44.2),
29(0.0, -0.2, -0.7),
28(0.5, -1.9, 18.6),
27(4.0, -1.8, 50.6),
26(4.1, -1.8, 23.0),
25(-2.5, -1.8, 18.1),
24(-1.1, -1.8, -1.2),
24(-1.8, -1.8, -6.6),
22(-2.1, -1.8, 24.4),
21(-1.2, -1.3, -0.7),
20(2.8, -1.8, 14.3),
19(-0.5, -1.9, 14.2),
18(5.4, -1.9, 40.4),
17(4.2, -1.8, 25.7),
16(3.3, -1.0, -0.7),
15(3.5, -1.8, 12.4),
14(-4.1, -1.9, 42.9),
14(-1.4, 0.5, -0.7),
12(-2.1, -1.8, 19.4),
12(-0.4, -1.8, -6.0),
10(-0.9, -1.8, 10.2),
9(0.4, 0.1, 30.1),
8(0.6, -1.9, 17.3),
7(4.3, -1.9, 17.8),
6(-3.6, -1.8, 17.3),
5(3.0, -1.8, 22.5),
4(-0.7, -1.9, 17.4),
3(-1.3, -1.9, 24.3),
2(2.5, -1.8, 37.7),
1(4.7, -1.9, 16.2),
0(0.6, -1.3, 29.9),
/n
